"rows"	"cols"	"seed"	"sparsity"	"animal"	"environmental"	"human"	"ocean"
1000	1000	8	0.992334	0.07	0.162	0.723	0.045
10000	1000	8	0.9917364	0.099	0.16	0.693	0.048
10	10000	8	0.89736	0.5631	0.0538	0.371	0.0121
100	10000	8	0.981556	0.1917	0.2042	0.519	0.0851
1000	10000	8	0.9916944	0.0912	0.149	0.7097	0.0501
10000	10000	8	0.99182675	0.0897	0.1567	0.7088	0.0448
10	1e+05	8	0.897221	0.57163	0.05062	0.36481	0.01294
100	1e+05	8	0.981464	0.18744	0.2074	0.51816	0.087
1000	1e+05	8	0.99162479	0.09144	0.14516	0.71335	0.05005
10000	1e+05	8	0.991839063	0.08955	0.15269	0.71266	0.0451
10	10	9	0.89	0.2	0.4	0	0.4
100	10	9	0.979	0.1	0.1	0.8	0
1000	10	9	0.9894	0.1	0.1	0.7	0.1
10000	10	9	0.98875	0.2	0.1	0.6	0.1
10	100	9	0.893	0.36	0.27	0.03	0.34
100	100	9	0.9799	0.13	0.1	0.75	0.02
1000	100	9	0.98908	0.15	0.13	0.68	0.04
10000	100	9	0.990394	0.1	0.13	0.75	0.02
10	1000	9	0.8917	0.39	0.323	0.024	0.263
100	1000	9	0.98006	0.12	0.074	0.764	0.042
1000	1000	9	0.989768	0.102	0.132	0.715	0.051
10000	1000	9	0.9919142	0.09	0.145	0.708	0.057
10	10000	9	0.89243	0.3934	0.3175	0.0287	0.2604
100	10000	9	0.980656	0.107	0.0825	0.7684	0.0421
1000	10000	9	0.9901293	0.0915	0.1385	0.7213	0.0487
10000	10000	9	0.99212974	0.0848	0.1525	0.7192	0.0435
10	1e+05	9	0.892789	0.38741	0.31559	0.02825	0.26875
100	1e+05	9	0.9807675	0.1039	0.07979	0.77425	0.04206
1000	1e+05	9	0.99024714	0.08948	0.13773	0.72346	0.04933
10000	1e+05	9	0.991970152	0.0892	0.15248	0.71217	0.04615
